Issue Type,Summary,Description,Epic Name,Epic Link,Parent,Labels
Sub-task,E4-S1a Schema Order,"Items, totales, userId, shipping, status, payment.",,,E4-S1 Crear orden (backend) + descontar stock,sayef
Sub-task,E4-S1b Endpoint POST /orders,"Crea orden y valida stock.",,,E4-S1 Crear orden (backend) + descontar stock,sayef
Sub-task,E4-S1c Descuento stock seguro,"Evitar stock negativo (bulk update/transaction).",,,E4-S1 Crear orden (backend) + descontar stock,sayef

Story,E4-S2 Mis órdenes (front + back),"Usuario ve listado y detalle de sus órdenes.",,E4 - Órdenes & Pagos,,sayef,orders
Sub-task,E4-S2a GET /orders/my,"Lista paginada.",,,E4-S2 Mis órdenes (front + back),sayef
Sub-task,E4-S2b UI Mis Órdenes,"Listado + detalle.",,,E4-S2 Mis órdenes (front + back),sayef

Story,E4-S3 Estados de orden (admin),"Admin cambia estado. Auditoría básica.",,E4 - Órdenes & Pagos,,sayef,orders
Sub-task,E4-S3a Endpoint PATCH status,"Validar transición de estados.",,,E4-S3 Estados de orden (admin),sayef
Sub-task,E4-S3b Auditoría,"updatedAt/updatedBy.",,,E4-S3 Estados de orden (admin),sayef
Sub-task,E4-S3c UI admin estados,"Selector estado + historial simple.",,,E4-S3 Estados de orden (admin),sayef

Story,E5-S1 Layout Admin + rutas protegidas,"Dashboard admin con menú secciones.",,E5 - Admin Panel (Backoffice),,sayef,admin
Sub-task,E5-S1a Layout + sidebar,"Estructura base.",,,E5-S1 Layout Admin + rutas protegidas,sayef
Sub-task,E5-S1b Guards rutas,"Solo ADMIN.",,,E5-S1 Layout Admin + rutas protegidas,sayef

Story,E5-S2 CRUD Productos (admin),"Alta/edición/desactivar, imágenes.",,E5 - Admin Panel (Backoffice),,sayef,admin
Sub-task,E5-S2a Tabla productos,"Filtros + paginación.",,,E5-S2 CRUD Productos (admin),sayef
Sub-task,E5-S2b Form producto,"Crear/editar con validaciones.",,,E5-S2 CRUD Productos (admin),sayef
Sub-task,E5-S2c Toggle activo,"Activar/desactivar.",,,E5-S2 CRUD Productos (admin),sayef

Story,E5-S3 CRUD Categorías (admin),"Gestión categorías con reglas.",,E5 - Admin Panel (Backoffice),,sayef,admin
Sub-task,E5-S3a UI categorías,"Crear/editar/borrar.",,,E5-S3 CRUD Categorías (admin),sayef
Sub-task,E5-S3b Restricción borrar,"No borrar si tiene productos.",,,E5-S3 CRUD Categorías (admin),sayef

Story,E5-S4 Gestión órdenes (admin),"Listado, filtros y cambio estado.",,E5 - Admin Panel (Backoffice),,sayef,admin
Sub-task,E5-S4a Tabla órdenes,"Filtros por estado/fecha.",,,E5-S4 Gestión órdenes (admin),sayef
Sub-task,E5-S4b Detalle orden admin,"Items + datos envío + acciones.",,,E5-S4 Gestión órdenes (admin),sayef

Story,E6-S1 Pagos (Mercado Pago u otro) + Webhook,"Checkout pago, preferencia y webhook actualiza estado a PAID.",,E6 - Integraciones,,sayef,payments
Sub-task,E6-S1a Crear preferencia/checkout,"Endpoint back + front inicia pago.",,,E6-S1 Pagos (Mercado Pago u otro) + Webhook,sayef
Sub-task,E6-S1b Webhook handler,"Verificar firma y mapear pago a orden.",,,E6-S1 Pagos (Mercado Pago u otro) + Webhook,sayef
Sub-task,E6-S1c Update order status to PAID,"Actualizar orden y registrar paymentId.",,,E6-S1 Pagos (Mercado Pago u otro) + Webhook,sayef

Story,E6-S2 Notificaciones email (opcional),"Email al crear orden y al cambiar estado.",,E6 - Integraciones,,sayef,integrations
Sub-task,E6-S2a Servicio email,"SMTP/SendGrid.",,,E6-S2 Notificaciones email (opcional),sayef
Sub-task,E6-S2b Templates,"Orden creada / orden actualizada.",,,E6-S2 Notificaciones email (opcional),sayef

Story,E6-S3 Envíos (opcional),"Seleccionar método de envío / costo / tracking.",,E6 - Integraciones,,sayef,shipping
Sub-task,E6-S3a Modelo shippingMethod,"Costo y descripción.",,,E6-S3 Envíos (opcional),sayef
Sub-task,E6-S3b UI selección envío,"En checkout.",,,E6-S3 Envíos (opcional),sayef

Story,E7-S1 Tests mínimos + Postman collection,"Colección Postman + tests básicos endpoints críticos.",,E7 - QA, Seguridad, Deploy & Observabilidad,,sayef,qa
Sub-task,E7-S1a Postman collection,"auth/products/orders.",,,E7-S1 Tests mínimos + Postman collection,sayef
Sub-task,E7-S1b Tests básicos,"smoke tests / supertest opcional.",,,E7-S1 Tests mínimos + Postman collection,sayef

Story,E7-S2 Seguridad (hardening),"Helmet, CORS, rate limit, validación input.",,E7 - QA, Seguridad, Deploy & Observabilidad,,sayef,security
Sub-task,E7-S2a Helmet + CORS,"Config seguro por ambiente.",,,E7-S2 Seguridad (hardening),sayef
Sub-task,E7-S2b Rate limit auth,"Evitar brute force.",,,E7-S2 Seguridad (hardening),sayef
Sub-task,E7-S2c Validación inputs,"zod/joi + sanitización.",,,E7-S2 Seguridad (hardening),sayef

Story,E7-S3 Deploy staging/prod,"Deploy front/back con envs y healthchecks.",,E7 - QA, Seguridad, Deploy & Observabilidad,,sayef,devops
Sub-task,E7-S3a Deploy front,"Vercel/Netlify.",,,E7-S3 Deploy staging/prod,sayef
Sub-task,E7-S3b Deploy back,"Render/Fly/EC2.",,,E7-S3 Deploy staging/prod,sayef
Sub-task,E7-S3c Documentación deploy,"Pasos y variables.",,,E7-S3 Deploy staging/prod,sayef

Story,E7-S4 Observabilidad,"Logs estructurados + error handler global.",,E7 - QA, Seguridad, Deploy & Observabilidad,,sayef,devops
Sub-task,E7-S4a Logger,"RequestId, levels.",,,E7-S4 Observabilidad,sayef
Sub-task,E7-S4b Error handler,"Respuestas consistentes + captura.",,,E7-S4 Observabilidad,sayef
